10:45:41.690 [main] INFO  TSM_201 - 300 - Component started.
10:45:41.706 [main] INFO  TSM_202 - 300 - Component started.
10:45:41.706 [main] INFO  TSM_203 - 300 - Component started.
10:45:41.706 [main] INFO  initializer - 303 - Message published: TurnoutDirectionSignal(sender: 201, direction: STRAIGHT).
10:45:41.706 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 201 (FACING), target: 202, status: ALLOWED, timestamp: Wed Nov 09 10:45:41 CET 2016).
10:45:41.706 [main] INFO  initializer - 303 - Message published: TurnoutDirectionSignal(sender: 202, direction: STRAIGHT).
10:45:41.706 [main] INFO  initializer - 303 - Message published: TurnoutDirectionSignal(sender: 203, direction: STRAIGHT).
10:45:41.706 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (FACING), target: 201, status: ALLOWED, timestamp: Wed Nov 09 10:45:41 CET 2016).
10:45:41.706 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (DIVERGENT), target: 203, status: ALLOWED, timestamp: Wed Nov 09 10:45:41 CET 2016).
10:45:41.706 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 203 (DIVERGENT), target: 202, status: ALLOWED, timestamp: Wed Nov 09 10:45:41 CET 2016).
10:45:41.706 [MQTT Call: initializer] INFO  initializer - 304 - Message received: TurnoutDirectionSignal(sender: 201, direction: STRAIGHT).
10:45:41.706 [MQTT Call: initializer] INFO  initializer - 304 - Message received: TurnoutDirectionSignal(sender: 202, direction: STRAIGHT).
10:45:41.706 [MQTT Call: initializer] INFO  initializer - 304 - Message received: TurnoutDirectionSignal(sender: 203, direction: STRAIGHT).
10:45:41.706 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 102, control: ENABLED).
10:45:41.706 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 101, control: ENABLED).
10:45:41.706 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 104, control: ENABLED).
10:45:41.706 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 103, control: ENABLED).
10:45:41.706 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 201 (FACING), target: 202, status: ALLOWED, timestamp: Wed Nov 09 10:45:41 CET 2016).
10:45:41.706 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 105, control: ENABLED).
10:45:41.706 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 106, control: ENABLED).
10:45:41.706 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (FACING), target: 201, status: ALLOWED, timestamp: Wed Nov 09 10:45:41 CET 2016).
10:45:41.706 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (DIVERGENT), target: 203, status: ALLOWED, timestamp: Wed Nov 09 10:45:41 CET 2016).
10:45:41.706 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 104, control: ENABLED).
10:45:41.706 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 105, control: ENABLED).
10:45:41.721 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 106, control: ENABLED).
10:45:41.721 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (FACING), target: 201, status: ALLOWED, timestamp: Wed Nov 09 10:45:41 CET 2016).
10:45:41.721 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (DIVERGENT), target: 203, status: ALLOWED, timestamp: Wed Nov 09 10:45:41 CET 2016).
10:45:41.721 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 203, target: 108, control: ENABLED).
10:45:41.721 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 203, target: 109, control: ENABLED).
10:45:41.721 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 203, target: 107, control: ENABLED).
10:45:41.721 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 203 (DIVERGENT), target: 202, status: ALLOWED, timestamp: Wed Nov 09 10:45:41 CET 2016).
10:45:42.690 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 201 (FACING), target: 202, status: ALLOWED, timestamp: Wed Nov 09 10:45:42 CET 2016).
10:45:42.713 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 203 (DIVERGENT), target: 202, status: ALLOWED, timestamp: Wed Nov 09 10:45:42 CET 2016).
10:45:42.729 [main] INFO  initializer - 303 - Message published: SectionOccupancySignal(sender: 101, occupancy: OCCUPIED).
10:45:42.729 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (FACING), target: 201, status: ALLOWED, timestamp: Wed Nov 09 10:45:42 CET 2016).
10:45:42.729 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (DIVERGENT), target: 203, status: ALLOWED, timestamp: Wed Nov 09 10:45:42 CET 2016).
10:45:42.729 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionOccupancySignal(sender: 101, occupancy: OCCUPIED).
10:45:42.729 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 102, control: ENABLED).
10:45:42.729 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 101, control: ENABLED).
10:45:42.729 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 103, control: ENABLED).
10:45:42.744 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 201 (FACING), target: 202, status: DENIED, timestamp: Wed Nov 09 10:45:42 CET 2016).
10:45:42.744 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 104, control: ENABLED).
10:45:42.744 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 105, control: ENABLED).
10:45:42.744 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 106, control: ENABLED).
10:45:42.744 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (FACING), target: 201, status: ALLOWED, timestamp: Wed Nov 09 10:45:42 CET 2016).
10:45:42.744 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (DIVERGENT), target: 203, status: ALLOWED, timestamp: Wed Nov 09 10:45:42 CET 2016).
10:45:43.698 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 201 (FACING), target: 202, status: DENIED, timestamp: Wed Nov 09 10:45:43 CET 2016).
10:45:43.721 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (FACING), target: 201, status: ALLOWED, timestamp: Wed Nov 09 10:45:43 CET 2016).
10:45:43.721 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 203 (DIVERGENT), target: 202, status: ALLOWED, timestamp: Wed Nov 09 10:45:43 CET 2016).
10:45:43.721 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (DIVERGENT), target: 203, status: ALLOWED, timestamp: Wed Nov 09 10:45:43 CET 2016).
10:45:43.736 [main] INFO  initializer - 303 - Message published: TurnoutDirectionSignal(sender: 201, direction: DIVERGENT).
10:45:43.736 [MQTT Call: initializer] INFO  initializer - 304 - Message received: TurnoutDirectionSignal(sender: 201, direction: DIVERGENT).
10:45:43.736 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 102, control: ENABLED).
10:45:43.736 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 101, control: DISABLED).
10:45:43.736 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 103, control: ENABLED).
10:45:43.736 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 201 (FACING), target: 202, status: ALLOWED, timestamp: Wed Nov 09 10:45:43 CET 2016).
10:45:43.752 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 104, control: ENABLED).
10:45:43.752 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 105, control: ENABLED).
